(Name, twitter link, wallet adress)
(N'o, https://x.com/Nosa1x, Di75xbVUg3u1qcmZci3NcZ8rjFMj7tsnYEoFdEMjS4ow)
(Latuche, https://x.com/Latuche95, GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65)
(Jijo, https://x.com/jijo_exe, 4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk) 
(Kadenox, https://x.com/kadenox, 3pZ59YENxDAcjaKa3sahZJBcgER4rGYi4v6BpPurmsGj)
(Pandora, https://x.com/pandoraflips, UxuuMeyX2pZPHmGZ2w3Q8MysvExCAquMtvEfqp2etvm)
(Heyitsyolo, https://x.com/Heyitsyolotv, Av3xWHJ5EsoLZag6pr7LKbrGgLRTaykXomDD5kBhL9YQ)
(Beaver, https://x.com/beaverd, GM7Hrz2bDq33ezMtL6KGidSWZXMWgZ6qBuugkb5H8NvN)
(Sebastian, https://x.com/Saint_pablo123, 3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei)
(0xSevere, https://x.com/0xSevere, 9FNz4MjPUmnJqTf6yEDbL1D4SsHVh7uA8zRHhR5K138r)
(YOUNIZ, https://x.com/YOUNIZ_XLZ, EKDDjxzJ39Bjkr47NiARGJDKFVxiiV9WNJ5XbtEhPEXP)
(West, https://x.com/ratwizardx, JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN)
(Letterbomb, https://x.com/ihateoop, BtMBMPkoNbnLF9Xn552guQq528KKXcsNBNNBre3oaQtr)
(Bandit, https://x.com/bandeeeez, 5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X)
(The Doc, https://x.com/KayTheDoc, DYAn4XpAkN5mhiXkRB7dGq4Jadnx6XYgu8L5b3WGhbrt)
(Boogie, https://x.com/boogiepnl, 2m8Mc2ngJCmpbEEoYhwT9U929z6C4CPKLatWnR775u9a)
(Smokez, https://x.com/SmokezXBT, 5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz)
(Ozark, https://x.com/ohzarke, DZAa55HwXgv5hStwaTEJGXZz1DhHejvpb7Yr762urXam)
(Groovy, https://x.com/0xGroovy, 34ZEH778zL8ctkLwxxERLX5ZnUu6MuFyX9CWrs8kucMw)
(Mr Frog, https://x.com/TheMisterFrog, 4DdrfiDHpmx55i4SPssxVzS9ZaKLb8qr45NKY9Er9nNh)
(Classic, https://x.com/simplyclassic69, DsqRyTUh1R37asYcVf1KdX4CNnz5DKEFmnXvgT4NfTPE)
(Hail, https://x.com/ignHail, HA1L7GhQfypSRdfBi3tCkkCVEdEcBVYqBSQCENCrwPuB)
(Meechie, https://x.com/973Meech, EkdbN4v1v88Z8LjxhXWgLc8m1iZUqxUMS6vzNvEdTJkU)
(Orange, https://x.com/OrangeSBS, 96sErVjEN7LNJ6Uvj63bdRWZxNuBngj56fnT9biHLKBf)
(Mitch, https://x.com/idrawline, 4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t)
(TIL, https://x.com/tilcrypto, EHg5YkU2SZBTvuT87rUsvxArGp3HLeye1fXaSDfuMyaf)
(Goob, https://x.com/ifullclipp, 9BkauJdFYUyBkNBZwV4mNNyfeVKhHvjULb7cL4gFQaLt)
(Fashr, https://x.com/FASHRCrypto, 719sfKUjiMThumTt2u39VMGn612BZyCcwbM5Pe8SqFYz)
(Idontpaytaxes, https://x.com/untaxxable, 2T5NgDDidkvhJQg8AHDi74uCFwgp25pYFMRZXBaCUNBH)
(Xander, https://x.com/xandereef, B3wagQZiZU2hKa5pUCj6rrdhWsX3Q6WfTTnki9PjwzMh)
(Qtdegen, https://x.com/qtdegen, 7tiRXPM4wwBMRMYzmywRAE6jveS3gDbNyxgRrEoU6RLA)
(Oura, https://x.com/Oura456, 4WPTQA7BB4iRdrPhgNpJihGcxKh8T43gLjMn5PbEVfQw)
(Insentos, https://x.com/insentos, 7SDs3PjT2mswKQ7Zo4FTucn9gJdtuW4jaacPA65BseHS)
(Lynk, https://x.com/lynk0x, CkPFGv2Wv1vwdWjtXioEgb8jhZQfs3eVZez3QCetu7xD)
(Issa, https://x.com/issathecooker, 2BU3NAzgRA2gg2MpzwwXpA8X4CCRaLgrf6TY1FKfJPX2)
(ShockedJS, https://x.com/ShockedJS, 6m5sW6EAPAHncxnzapi1ZVJNRb9RZHQ3Bj7FD84X9rAF)
(Leens, https://x.com/leensx100, 7iabBMwmSvS4CFPcjW2XYZY53bUCHzXjCFEFhxeYP4CY)
(Henn100x, https://x.com/henn100x, FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS)
(Saif, https://x.com/degensaif, BuhkHhM3j4viF71pMTd23ywxPhF35LUnc2QCLAvUxCdW)
(Red, https://x.com/redwithbag, 7ABz8qEFZTHPkovMDsmQkm64DZWN5wRtU7LEtD2ShkQ6)

(CartiTheMenace, https://x.com/CartiTheMenace, A6fVPXt9bqon1LQoJi4HQ5xkhavLKEo77N5CZef2jpmR)

